Postcode,Suburb,Type,Price,Distance,Rooms,Bathroom,Car,BuildingArea,Landsize,zipcode,rent_price_mean,rent_price_median,rent_price_min,rent_price_max,rent_price_count,rent_rating_mean,rent_rating_median,rent_rating_min,rent_rating_max
3078,Alphington,u,512000.0,6.4,2,1.0,1.0,61.0,0.0,,,,,,,,,,
3078,Alphington,h,1900000.0,6.4,4,2.0,2.0,272.0,556.0,,,,,,,,,,
3078,Alphington,h,1950000.0,6.4,4,2.0,3.0,210.0,589.0,,,,,,,,,,
3018,Altona,h,520000.0,13.8,3,2.0,1.0,242.0,352.0,,,,,,,,,,
3018,Altona,h,1525000.0,13.8,5,3.0,3.0,268.0,729.0,,,,,,,,,,
3018,Altona,t,720000.0,13.8,2,1.0,2.0,125.0,292.0,,,,,,,,,,
3018,Altona,h,1120000.0,13.8,3,1.0,2.0,120.0,506.0,,,,,,,,,,
3018,Altona,u,630000.0,13.8,3,1.0,2.0,94.0,311.0,,,,,,,,,,
3018,Altona,h,660000.0,13.8,3,1.0,1.0,123.0,602.0,,,,,,,,,,
3018,Altona,u,580000.0,13.8,2,1.0,1.0,93.0,225.0,,,,,,,,,,
3018,Altona,h,1335000.0,13.8,3,1.0,4.0,22.0,777.0,,,,,,,,,,
3018,Altona,u,510000.0,13.8,2,1.0,1.0,76.0,127.0,,,,,,,,,,
3018,Altona,u,425000.0,13.8,2,1.0,2.0,57.0,115.0,,,,,,,,,,
3018,Altona,t,705000.0,13.8,3,2.0,2.0,152.0,197.0,,,,,,,,,,
3018,Altona,u,391000.0,13.8,2,1.0,1.0,65.0,0.0,,,,,,,,,,
3018,Altona,h,845000.0,13.8,4,1.0,2.0,130.0,745.0,,,,,,,,,,
3018,Altona,t,743000.0,13.8,3,2.0,2.0,176.0,211.0,,,,,,,,,,
3018,Altona,u,730000.0,13.8,3,2.0,1.0,141.0,69.0,,,,,,,,,,
3018,Altona,u,447000.0,13.8,2,1.0,1.0,77.0,137.0,,,,,,,,,,
3018,Altona,h,678000.0,13.8,3,1.0,2.0,87.0,606.0,,,,,,,,,,
3018,Altona,u,580000.0,13.8,2,2.0,1.0,76.0,175.0,,,,,,,,,,
3018,Altona,h,840000.0,13.8,3,2.0,2.0,136.0,534.0,,,,,,,,,,
3018,Altona,u,577000.0,13.8,3,2.0,1.0,113.0,205.0,,,,,,,,,,
3018,Altona,h,857000.0,13.8,2,2.0,1.0,100.0,675.0,,,,,,,,,,
3018,Altona,u,730000.0,13.8,3,2.0,1.0,3.0,70.0,,,,,,,,,,
3018,Altona,h,535600.0,13.8,2,1.0,1.0,91.0,154.0,,,,,,,,,,
3025,Altona North,h,781000.0,11.1,3,1.0,2.0,117.0,533.0,,,,,,,,,,
3025,Altona North,t,421000.0,11.1,2,1.0,1.0,77.0,77.0,,,,,,,,,,
3025,Altona North,h,683000.0,11.1,3,1.0,2.0,167.0,534.0,,,,,,,,,,
3025,Altona North,h,720000.0,11.1,3,2.0,1.0,130.0,0.0,,,,,,,,,,
3025,Altona North,h,588000.0,11.1,3,1.0,1.0,118.0,328.0,,,,,,,,,,
3025,Altona North,h,710000.0,11.1,3,1.0,3.0,116.0,540.0,,,,,,,,,,
3025,Altona North,h,875000.0,11.1,4,1.0,4.0,169.0,559.0,,,,,,,,,,
3025,Altona North,h,675000.0,11.1,3,2.0,2.0,109.0,171.0,,,,,,,,,,
3025,Altona North,h,708000.0,11.1,3,1.0,2.0,97.0,585.0,,,,,,,,,,
3025,Altona North,h,693000.0,11.1,4,2.0,4.0,170.0,315.0,,,,,,,,,,
3025,Altona North,h,620000.0,11.1,3,2.0,2.0,100.0,276.0,,,,,,,,,,
3025,Altona North,h,728500.0,11.1,3,1.0,1.0,157.0,531.0,,,,,,,,,,
3025,Altona North,h,931000.0,11.1,3,2.0,1.0,160.0,590.0,,,,,,,,,,
3025,Altona North,h,815000.0,11.1,3,2.0,3.0,130.0,555.0,,,,,,,,,,
3025,Altona North,h,1200000.0,11.1,4,1.0,4.0,158.0,633.0,,,,,,,,,,
3025,Altona North,u,292000.0,11.1,2,1.0,1.0,70.0,153.0,,,,,,,,,,
3143,Armadale,u,599000.0,6.3,2,1.0,1.0,76.0,0.0,,,,,,,,,,
3143,Armadale,u,995000.0,6.3,3,2.0,2.0,100.0,0.0,,,,,,,,,,
3143,Armadale,t,1205000.0,6.3,3,2.0,2.0,105.0,101.0,,,,,,,,,,
3143,Armadale,h,1939000.0,6.3,3,2.0,2.0,150.0,296.0,,,,,,,,,,
3143,Armadale,h,1870000.0,6.3,3,1.0,1.0,116.0,217.0,,,,,,,,,,
3143,Armadale,t,1918000.0,6.3,3,2.0,2.0,165.0,0.0,,,,,,,,,,
3143,Armadale,h,2050000.0,6.3,3,2.0,1.0,116.0,205.0,,,,,,,,,,
3143,Armadale,h,1435000.0,6.3,1,2.0,1.0,107.0,144.0,,,,,,,,,,
3143,Armadale,u,280000.0,6.3,1,1.0,1.0,38.0,0.0,,,,,,,,,,
3143,Armadale,u,592500.0,6.3,2,1.0,1.0,73.0,0.0,,,,,,,,,,
3143,Armadale,h,1210000.0,6.3,2,1.0,0.0,96.0,249.0,,,,,,,,,,
3143,Armadale,h,2801000.0,6.3,4,2.0,2.0,222.0,624.0,,,,,,,,,,
3143,Armadale,h,1800000.0,6.3,3,2.0,2.0,121.0,405.0,,,,,,,,,,
3143,Armadale,h,2200000.0,6.3,4,1.0,2.0,163.0,495.0,,,,,,,,,,
3143,Armadale,u,440000.0,6.3,1,1.0,1.0,53.0,0.0,,,,,,,,,,
3143,Armadale,h,1300000.0,6.3,3,1.0,2.0,106.0,212.0,,,,,,,,,,
3143,Armadale,u,704000.0,6.3,2,1.0,1.0,74.0,0.0,,,,,,,,,,
3143,Armadale,u,620000.0,6.3,2,1.0,1.0,98.0,0.0,,,,,,,,,,
3143,Armadale,h,1900000.0,6.3,3,1.0,2.0,108.0,328.0,,,,,,,,,,
3143,Armadale,u,598000.0,6.3,2,1.0,1.0,88.0,0.0,,,,,,,,,,
3143,Armadale,h,1285000.0,6.3,3,1.0,2.0,80.0,186.0,,,,,,,,,,
3143,Armadale,u,520000.0,6.3,2,1.0,1.0,76.0,0.0,,,,,,,,,,
3143,Armadale,h,3625000.0,6.3,4,1.0,2.0,251.0,709.0,,,,,,,,,,
3143,Armadale,h,4200000.0,6.3,4,3.0,3.0,333.0,563.0,,,,,,,,,,
3143,Armadale,t,1101000.0,6.3,3,1.0,2.0,3.0,103.0,,,,,,,,,,
3143,Armadale,h,3512500.0,6.3,3,2.0,2.0,285.0,617.0,,,,,,,,,,
3143,Armadale,u,869000.0,6.3,3,1.0,1.0,91.0,0.0,,,,,,,,,,
3143,Armadale,u,567000.0,6.3,1,1.0,1.0,53.0,0.0,,,,,,,,,,
3032,Ascot Vale,h,940000.0,5.9,3,1.0,2.0,108.0,298.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,u,467000.0,5.9,2,1.0,1.0,62.0,0.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1380000.0,5.9,3,2.0,2.0,174.0,277.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,u,490000.0,5.9,2,1.0,1.0,62.0,423.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1850000.0,5.9,4,3.0,1.0,270.0,478.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,971000.0,5.9,3,2.0,2.0,128.0,285.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,710000.0,5.9,2,1.0,1.0,77.0,214.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,750000.0,5.9,2,1.0,1.0,92.0,226.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1053000.0,5.9,2,1.0,1.0,109.0,269.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1377000.0,5.9,3,1.0,1.0,168.0,417.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,970000.0,5.9,3,1.0,2.0,125.0,350.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,751000.0,5.9,2,1.0,1.0,79.0,118.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,950000.0,5.9,2,1.0,1.0,102.0,173.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,u,685000.0,5.9,2,1.0,2.0,90.0,228.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1230000.0,5.9,3,1.0,2.0,148.0,594.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,770000.0,5.9,2,1.0,1.0,87.0,226.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,890000.0,5.9,4,1.0,1.0,185.0,300.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1440000.0,5.9,3,1.0,1.0,131.0,487.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1000000.0,5.9,3,2.0,2.0,120.0,440.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1435000.0,5.9,3,2.0,2.0,147.0,532.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,u,390000.0,5.9,1,1.0,1.0,58.0,0.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1425000.0,5.9,3,2.0,2.0,139.0,495.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1340000.0,5.9,4,2.0,2.0,232.0,683.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,955000.0,5.9,3,1.0,1.0,117.0,263.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,u,432000.0,5.9,2,1.0,1.0,62.0,0.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1640000.0,5.9,4,3.0,2.0,204.0,562.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,u,610000.0,5.9,2,1.0,1.0,104.0,301.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,940000.0,5.9,3,3.0,1.0,127.0,491.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,890000.0,5.9,3,1.0,1.0,110.0,242.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1180000.0,5.9,3,2.0,2.0,149.0,617.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1480000.0,5.9,4,2.0,2.0,180.0,597.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,t,865000.0,5.9,2,2.0,1.0,132.0,146.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,u,442000.0,5.9,2,1.0,1.0,62.0,0.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1037500.0,5.9,3,1.0,2.0,110.0,506.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,t,1050000.0,5.9,3,2.0,2.0,160.0,318.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,u,440000.0,5.9,2,1.0,1.0,65.0,0.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1430000.0,5.9,4,2.0,0.0,158.0,418.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1130000.0,5.9,3,2.0,1.0,157.0,272.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1135000.0,5.9,3,1.0,1.0,104.0,296.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,950000.0,5.9,4,2.0,1.0,147.0,298.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,u,790000.0,5.9,3,2.0,1.0,148.0,0.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,u,390000.0,5.9,2,1.0,1.0,69.0,1957.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1345000.0,5.9,4,1.0,1.0,155.0,552.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1381500.0,5.9,3,2.0,2.0,168.0,416.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,940000.0,5.9,3,2.0,2.0,172.0,285.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,995000.0,5.9,3,2.0,1.0,177.0,314.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,786000.0,5.9,3,2.0,1.0,120.0,576.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,705000.0,5.9,2,1.0,3.0,108.0,252.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,760000.0,5.9,2,1.0,1.0,77.0,124.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,t,1000000.0,5.9,3,2.0,2.0,144.0,200.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1305000.0,5.9,3,1.0,1.0,166.0,278.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1215000.0,5.9,3,1.0,1.0,175.0,452.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,u,545000.0,5.9,2,1.0,2.0,71.0,194.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3032,Ascot Vale,h,1705000.0,5.9,4,2.0,4.0,273.0,598.0,3032,81.66666666666667,89.0,60.0,96.0,3.0,77.0,77.0,77.0,77.0
3147,Ashburton,h,2650000.0,11.0,4,3.0,2.0,399.0,753.0,,,,,,,,,,
3147,Ashburton,h,1670000.0,11.0,3,2.0,2.0,220.0,599.0,,,,,,,,,,
3147,Ashburton,t,2050000.0,11.0,3,3.0,4.0,315.0,310.0,,,,,,,,,,
3147,Ashburton,h,1555000.0,11.0,3,2.0,2.0,149.0,731.0,,,,,,,,,,
3147,Ashburton,h,1100000.0,11.0,3,3.0,2.0,178.0,276.0,,,,,,,,,,
3147,Ashburton,h,1337000.0,11.0,3,1.0,2.0,112.0,583.0,,,,,,,,,,
3147,Ashburton,h,1518000.0,11.0,3,2.0,2.0,145.0,516.0,,,,,,,,,,
3147,Ashburton,h,1710000.0,11.0,3,1.0,2.0,101.0,806.0,,,,,,,,,,
3147,Ashburton,h,1655000.0,11.0,3,1.0,3.0,152.0,780.0,,,,,,,,,,
3147,Ashburton,h,1550000.0,11.0,4,2.0,2.0,180.0,780.0,,,,,,,,,,
3147,Ashburton,h,1662000.0,11.0,3,2.0,2.0,228.0,351.0,,,,,,,,,,
3147,Ashburton,h,1665000.0,11.0,3,2.0,3.0,145.0,702.0,,,,,,,,,,
3147,Ashburton,t,900000.0,11.0,3,2.0,2.0,110.0,153.0,,,,,,,,,,
3147,Ashburton,h,2752000.0,11.0,5,4.0,2.0,390.0,1075.0,,,,,,,,,,
3147,Ashburton,h,1500000.0,11.0,3,2.0,2.0,139.0,710.0,,,,,,,,,,
3147,Ashburton,h,1800000.0,11.0,4,2.0,4.0,206.0,749.0,,,,,,,,,,
3147,Ashburton,h,1830000.0,11.0,3,2.0,3.0,168.0,724.0,,,,,,,,,,
3147,Ashburton,h,1415000.0,11.0,3,1.0,1.0,111.0,605.0,,,,,,,,,,
3147,Ashburton,h,1440000.0,11.0,2,1.0,1.0,104.0,687.0,,,,,,,,,,
3147,Ashburton,t,1250000.0,11.0,4,2.0,2.0,199.0,321.0,,,,,,,,,,
3147,Ashburton,h,1600000.0,11.0,5,3.0,4.0,266.0,700.0,,,,,,,,,,
3147,Ashburton,h,1860000.0,11.0,4,2.0,3.0,274.0,696.0,,,,,,,,,,
3147,Ashburton,h,1790000.0,11.0,4,2.0,2.0,240.0,514.0,,,,,,,,,,
3147,Ashburton,h,1950000.0,11.0,4,2.0,2.0,278.0,844.0,,,,,,,,,,
3147,Ashburton,h,1650000.0,11.0,3,1.0,1.0,164.0,697.0,,,,,,,,,,
3147,Ashwood,h,1200000.0,12.2,4,3.0,2.0,201.0,372.0,,,,,,,,,,
3147,Ashwood,h,1075000.0,12.2,2,1.0,2.0,114.0,695.0,,,,,,,,,,
3147,Ashwood,h,1500000.0,12.2,4,2.0,2.0,203.0,621.0,,,,,,,,,,
3147,Ashwood,t,700000.0,12.2,2,1.0,2.0,110.0,367.0,,,,,,,,,,
3147,Ashwood,h,761000.0,12.2,3,2.0,4.0,94.0,400.0,,,,,,,,,,
3147,Ashwood,h,1100000.0,12.2,4,2.0,2.0,152.0,803.0,,,,,,,,,,
3147,Ashwood,u,690000.0,12.2,2,1.0,1.0,90.0,216.0,,,,,,,,,,
3147,Ashwood,h,1631000.0,12.2,3,2.0,3.0,215.0,782.0,,,,,,,,,,
3147,Ashwood,h,1500000.0,12.2,4,2.0,1.0,255.0,593.0,,,,,,,,,,
3147,Ashwood,h,1529500.0,12.2,5,3.0,2.0,317.0,585.0,,,,,,,,,,
3147,Ashwood,u,600000.0,12.2,2,1.0,1.0,80.0,153.0,,,,,,,,,,
3147,Ashwood,h,1240000.0,12.2,4,2.0,2.0,192.0,766.0,,,,,,,,,,
3147,Ashwood,u,700000.0,12.2,2,1.0,2.0,88.0,192.0,,,,,,,,,,
3147,Ashwood,h,1110000.0,12.2,2,1.0,1.0,86.0,586.0,,,,,,,,,,
3147,Ashwood,h,1305000.0,12.2,3,1.0,1.0,120.0,760.0,,,,,,,,,,
